"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","36-015","PHO","","DAL","W (+21)","0","11:31","0","0","","0","0","","0","0","","0","5","5","0","1","0","0","4","0","0.9","+4"
"2","2","2018-10-20","36-018","PHO","@","DEN","L (-28)","0","17:40","0","0","","0","0","","2","6",".333","1","7","8","2","0","0","0","4","2","3.0","-16"
"3","3","2018-10-22","36-020","PHO","@","GSW","L (-20)","0","14:11","1","2",".500","0","0","","0","0","","0","6","6","0","1","0","2","4","2","0.2","-7"
"4","4","2018-10-24","36-022","PHO","","LAL","L (-18)","0","14:24","5","7",".714","0","0","","4","5",".800","4","7","11","0","0","0","1","2","14","13.8","-18"
"5","5","2018-10-27","36-025","PHO","@","MEM","L (-21)","0","10:42","0","1",".000","0","0","","2","2","1.000","1","2","3","2","0","0","2","3","2","0.8","-7"
"6","6","2018-10-28","36-026","PHO","@","OKC","L (-7)","0","11:34","1","1","1.000","0","0","","2","2","1.000","0","2","2","2","0","1","0","1","4","6.0","-17"
"7","7","2018-10-31","36-029","PHO","","SAS","L (-30)","0","8:58","1","1","1.000","0","0","","0","3",".000","1","3","4","0","0","0","2","3","2","-1.1","-6"
"9","8","2018-11-07","36-036","LAL","","MIN","W (+4)","0","22:56","1","4",".250","0","0","","0","0","","4","4","8","0","0","0","1","3","2","1.4","+6"
"10","9","2018-11-10","36-039","LAL","@","SAC","W (+15)","0","23:27","1","2",".500","0","0","","1","4",".250","5","7","12","0","1","1","4","4","3","2.5","+8"
"11","10","2018-11-11","36-040","LAL","","ATL","W (+1)","0","21:19","2","4",".500","0","0","","0","0","","5","0","5","1","2","3","2","3","4","7.1","-1"
"12","11","2018-11-14","36-043","LAL","","POR","W (+9)","0","20:42","1","1","1.000","0","0","","2","2","1.000","2","4","6","1","0","0","0","4","4","5.4","+6"
"13","12","2018-11-17","36-046","LAL","@","ORL","L (-13)","0","17:21","1","1","1.000","0","0","","0","0","","0","3","3","0","0","0","1","1","2","1.2","-12"
"14","13","2018-11-18","36-047","LAL","@","MIA","W (+16)","0","23:48","1","3",".333","0","0","","0","0","","5","6","11","0","1","0","2","4","2","3.0","+21"
