"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"5","1","2018-10-28","23-172","OKC","","PHO","W (+7)","0","1:00","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-5",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41.6","0","115"
"6","2","2018-10-30","23-174","OKC","","LAC","W (+18)","0","1:33","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.8","-2",".000",".000","0.0","81.5","39.2","0.0","0.0","0.0","0.0","25.2","0","99"
"8","3","2018-11-02","23-177","OKC","@","WAS","W (+23)","0","2:18","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-3",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.9","0","118"
"11","4","2018-11-08","23-183","OKC","","HOU","W (+18)","0","0:59","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-3","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","103"
"12","5","2018-11-10","23-185","OKC","@","DAL","L (-15)","0","1:38","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-2",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24.3","0","125"
"13","6","2018-11-12","23-187","OKC","","PHO","W (+17)","0","1:32","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-3","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","116"
"14","7","2018-11-14","23-189","OKC","","NYK","W (+25)","0","1:16","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+4","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","111"
"15","8","2018-11-17","23-192","OKC","@","PHO","W (+10)","0","25:05","4","8",".500","1","3",".333","3","3","1.000","1","3","4","1","0","0","2","4","12","6.7","-4",".644",".563","4.7","13.7","9.2","6.3","0.0","0.0","17.7","18.5","118","107"
"16","9","2018-11-19","23-194","OKC","@","SAC","L (-4)","0","24:29","5","8",".625","1","3",".333","0","1",".000","2","3","5","2","1","0","0","2","11","10.9","+3",".652",".688","6.8","10.9","8.8","11.1","1.8","0.0","0.0","12.9","142","108"
"17","10","2018-11-21","23-196","OKC","@","GSW","W (+28)","0","18:27","3","9",".333","2","5",".400","0","0","","0","1","1","0","1","0","0","1","8","3.8","+10",".444",".444","0.0","5.2","2.5","0.0","2.5","0.0","0.0","19.1","101","95"
"18","11","2018-11-23","23-198","OKC","","CHO","W (+5)","0","6:51","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","2","0","-2.5","-10",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","50.0","11.9","0","110"
"19","12","2018-11-24","23-199","OKC","","DEN","L (-7)","1","20:57","1","6",".167","1","4",".250","0","0","","1","4","5","1","1","1","1","1","3","2.1","-10",".250",".250","4.0","18.3","10.6","6.6","2.3","3.5","14.3","13.0","62","102"
"20","13","2018-11-28","23-203","OKC","","CLE","W (+17)","0","4:11","0","3",".000","0","2",".000","1","2",".500","0","0","0","0","1","0","1","2","1","-2.3","-4",".129",".000","0.0","0.0","0.0","0.0","11.9","0.0","20.5","53.0","22","67"
"21","14","2018-11-30","23-205","OKC","","ATL","W (+15)","0","1:49","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-7","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","112"
"27","15","2018-12-14","23-219","OKC","@","DEN","L (-11)","0","0:33","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","125"
"29","16","2018-12-17","23-222","OKC","","CHI","W (+25)","0","2:53","0","2",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","1","0","-1.5","-4",".000",".000","0.0","37.0","18.5","0.0","0.0","0.0","0.0","27.2","0","94"
"30","17","2018-12-19","23-224","OKC","@","SAC","W (+19)","0","1:36","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","112"
"39","18","2019-01-06","23-242","OKC","","WAS","L (-18)","0","2:11","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+1","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","126"
"42","19","2019-01-12","23-248","OKC","","SAS","W (+10)","0","0:45","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-2",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","56.8","0","118"
"43","20","2019-01-15","23-251","OKC","@","ATL","L (-16)","0","0:37","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","146"
"46","21","2019-01-21","23-257","OKC","@","NYK","W (+18)","0","2:06","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","0","0","-0.4","-2",".000",".000","0.0","45.7","26.9","0.0","0.0","0.0","0.0","20.2","0","104"
"52","22","2019-02-06","23-273","CHI","","NOP","L (-5)","0","19:26","3","11",".273","2","6",".333","1","1","1.000","0","3","3","0","0","0","0","5","9","1.4","-3",".393",".364","0.0","18.1","9.0","0.0","0.0","0.0","0.0","26.3","83","135"
"53","23","2019-02-08","23-275","CHI","@","BRK","W (+19)","0","13:52","2","7",".286","1","5",".200","3","3","1.000","0","4","4","0","1","0","0","2","8","5.3","+5",".481",".357","0.0","28.8","16.7","0.0","3.4","0.0","0.0","25.8","106","98"
"54","24","2019-02-09","23-276","CHI","","WAS","L (-9)","0","17:00","2","4",".500","1","2",".500","0","0","","1","5","6","1","0","1","2","2","5","3.8","0",".625",".625","6.0","38.2","20.2","6.5","0.0","4.2","33.3","14.1","91","125"
"55","25","2019-02-11","23-278","CHI","","MIL","L (-13)","0","16:02","3","6",".500","2","3",".667","1","2",".500","0","1","1","0","1","0","0","1","9","6.5","-19",".654",".667","0.0","7.3","3.2","0.0","2.9","0.0","0.0","17.6","122","107"
