"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"4","1","2018-10-24","23-294","BRK","@","CLE","W (+16)","0","21:05","3","10",".300","0","2",".000","2","4",".500","0","8","8","0","1","0","1","0","8","3.8","-1"
"5","2","2018-10-26","23-296","BRK","@","NOP","L (-2)","0","16:25","2","7",".286","0","0","","0","0","","0","6","6","2","0","1","0","2","4","3.0","+5"
"6","3","2018-10-28","23-298","BRK","","GSW","L (-6)","0","17:11","3","9",".333","0","1",".000","1","2",".500","0","2","2","0","1","0","0","1","7","2.7","-19"
"7","4","2018-10-29","23-299","BRK","@","NYK","L (-19)","0","27:00","8","15",".533","0","1",".000","0","0","","3","4","7","0","1","2","1","2","16","12.6","-11"
"8","5","2018-10-31","23-301","BRK","","DET","W (+1)","0","24:52","4","9",".444","0","0","","0","0","","1","6","7","3","0","1","1","2","8","6.8","+2"
"9","6","2018-11-02","23-303","BRK","","HOU","L (-8)","0","19:06","2","5",".400","0","1",".000","1","3",".333","1","4","5","3","1","0","1","3","5","4.3","-2"
"10","7","2018-11-04","23-305","BRK","","PHI","W (+25)","0","29:45","9","14",".643","0","0","","3","5",".600","1","5","6","3","0","0","0","2","21","17.5","+27"
"11","8","2018-11-06","23-307","BRK","@","PHO","W (+22)","0","12:33","1","6",".167","0","1",".000","3","4",".750","0","2","2","1","1","0","2","0","5","1.1","-1"
"12","9","2018-11-09","23-310","BRK","@","DEN","W (+2)","0","17:49","2","9",".222","1","4",".250","3","4",".750","2","1","3","2","1","1","0","2","8","6.1","-2"
"13","10","2018-11-10","23-311","BRK","@","GSW","L (-16)","0","17:04","1","5",".200","0","1",".000","0","0","","0","3","3","1","0","1","1","0","2","0.2","-14"
"14","11","2018-11-12","23-313","BRK","@","MIN","L (-7)","1","26:42","5","10",".500","0","0","","4","6",".667","4","2","6","5","3","1","1","4","14","16.2","-8"
"15","12","2018-11-14","23-315","BRK","","MIA","L (-13)","0","23:13","6","13",".462","0","1",".000","2","5",".400","5","4","9","0","1","1","2","2","14","9.7","-10"
"17","13","2018-11-17","23-318","BRK","","LAC","L (-8)","0","12:12","2","6",".333","0","1",".000","4","6",".667","2","2","4","0","1","0","1","1","8","5.4","-1"
"18","14","2018-11-20","23-321","BRK","@","MIA","W (+12)","0","25:48","3","9",".333","0","1",".000","4","6",".667","3","4","7","0","0","0","2","2","10","4.6","+17"
"19","15","2018-11-21","23-322","BRK","@","DAL","L (-6)","0","26:36","3","7",".429","0","0","","3","5",".600","3","5","8","3","1","0","3","5","9","6.2","+14"
"20","16","2018-11-23","23-324","BRK","","MIN","L (-10)","0","19:31","2","6",".333","0","0","","5","6",".833","1","5","6","2","1","1","1","1","9","9.1","-7"
"21","17","2018-11-25","23-326","BRK","","PHI","L (-2)","1","29:42","6","9",".667","1","1","1.000","0","0","","1","5","6","1","0","1","2","2","13","9.9","-7"
"22","18","2018-11-28","23-329","BRK","","UTA","L (-10)","1","28:11","6","13",".462","0","1",".000","2","4",".500","3","8","11","1","1","0","3","2","14","8.9","-9"
"23","19","2018-11-30","23-331","BRK","","MEM","L (-6)","1","38:09","6","11",".545","0","1",".000","3","4",".750","2","1","3","1","0","0","1","3","15","9.5","-11"
"24","20","2018-12-01","23-332","BRK","@","WAS","L (-14)","1","28:08","3","10",".300","1","1","1.000","4","4","1.000","1","7","8","0","1","0","2","1","11","6.6","-5"
"25","21","2018-12-03","23-334","BRK","","CLE","L (-2)","1","21:56","1","7",".143","0","1",".000","2","6",".333","2","3","5","1","0","0","0","2","4","0.1","-4"
"26","22","2018-12-05","23-336","BRK","","OKC","L (-2)","1","22:02","0","2",".000","0","0","","2","2","1.000","1","8","9","6","0","0","0","2","2","7.1","-2"
"27","23","2018-12-07","23-338","BRK","","TOR","W (+1)","1","35:40","5","14",".357","1","3",".333","0","0","","1","3","4","2","1","0","0","2","11","6.4","+1"
"28","24","2018-12-08","23-339","BRK","@","NYK","W (+8)","1","31:47","7","14",".500","2","2","1.000","4","7",".571","0","6","6","2","2","1","1","3","20","15.5","+9"
"29","25","2018-12-12","23-343","BRK","@","PHI","W (+3)","1","22:21","1","6",".167","0","0","","1","1","1.000","0","4","4","1","4","0","3","3","3","0.9","-5"
"30","26","2018-12-14","23-345","BRK","","WAS","W (+7)","1","32:21","6","11",".545","0","0","","3","5",".600","1","8","9","6","1","0","2","3","15","14.0","0"
"31","27","2018-12-16","23-347","BRK","","ATL","W (+17)","1","22:37","6","10",".600","1","1","1.000","5","6",".833","0","4","4","3","2","0","2","0","18","16.3","+17"
"32","28","2018-12-18","23-349","BRK","","LAL","W (+5)","1","37:33","5","12",".417","0","2",".000","7","9",".778","0","8","8","3","1","0","1","3","17","13.1","-6"
"33","29","2018-12-19","23-350","BRK","@","CHI","W (+3)","1","27:40","2","10",".200","0","0","","5","6",".833","1","2","3","3","0","0","0","1","9","5.4","0"
"34","30","2018-12-21","23-352","BRK","","IND","L (-8)","1","20:20","4","9",".444","1","1","1.000","4","6",".667","0","5","5","2","1","0","3","3","13","7.2","-4"
"35","31","2018-12-23","23-354","BRK","","PHO","W (+8)","1","16:46","1","3",".333","0","1",".000","4","8",".500","3","2","5","0","1","2","3","1","6","4.4","+4"
"36","32","2018-12-26","23-357","BRK","","CHO","W (+2)","1","42:33","7","16",".438","0","1",".000","2","2","1.000","4","11","15","6","0","3","2","5","16","16.0","+5"
"37","33","2018-12-28","23-359","BRK","@","CHO","L (-13)","1","17:56","1","7",".143","0","3",".000","0","0","","0","1","1","1","0","2","0","2","2","-0.9","-22"
