"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"24","1","2018-11-30","22-065","PHI","","WAS","W (+25)","0","10:31","2","4",".500","1","2",".500","0","0","","0","0","0","2","1","1","0","1","5","5.7","+1"
"28","2","2018-12-10","22-075","PHI","","DET","W (+14)","0","3:09","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","-7"
"29","3","2018-12-12","22-077","PHI","","BRK","L (-3)","0","4:34","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","2","0","-0.8","0"
"30","4","2018-12-14","22-079","PHI","","IND","L (-12)","0","3:24","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","-2"
"31","5","2018-12-16","22-081","PHI","@","CLE","W (+23)","0","6:23","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.8","+7"
"32","6","2018-12-17","22-082","PHI","@","SAS","L (-27)","0","8:05","4","7",".571","2","3",".667","0","0","","3","1","4","0","0","0","0","1","10","8.7","-2"
"33","7","2018-12-19","22-084","PHI","","NYK","W (+22)","0","3:47","1","2",".500","1","2",".500","2","2","1.000","0","1","1","2","0","0","0","0","5","5.7","+1"
"34","8","2018-12-22","22-087","PHI","","TOR","W (+25)","0","4:14","2","2","1.000","1","1","1.000","0","0","","0","0","0","0","2","0","0","1","5","6.0","+2"
"40","9","2019-01-05","22-101","PHI","","DAL","W (+6)","0","10:43","2","4",".500","1","2",".500","1","1","1.000","0","2","2","0","0","2","0","0","6","6.0","-2"
"41","10","2019-01-08","22-104","PHI","","WAS","W (+17)","0","20:26","1","6",".167","1","3",".333","1","2",".500","3","2","5","3","0","0","1","4","4","2.0","-3"
"42","11","2019-01-09","22-105","PHI","@","WAS","L (-17)","0","9:50","1","4",".250","0","2",".000","0","0","","0","2","2","1","0","0","1","0","2","-0.1","+3"
"50","12","2019-01-26","22-122","PHI","@","DEN","L (-16)","0","20:29","4","7",".571","3","5",".600","0","0","","1","0","1","1","1","0","0","2","11","9.3","+3"
"53","13","2019-02-02","22-129","PHI","@","SAC","L (-7)","0","20:23","3","7",".429","0","3",".000","0","0","","0","4","4","2","0","0","1","2","6","3.1","+10"
"74","14","2019-03-25","22-180","PHI","@","ORL","L (-21)","0","21:47","6","8",".750","1","3",".333","0","0","","0","1","1","0","0","0","0","3","13","8.9","-14"
"75","15","2019-03-28","22-183","PHI","","BRK","W (+13)","0","16:47","2","3",".667","0","1",".000","0","0","","0","1","1","0","1","1","1","1","4","3.3","+6"
"77","16","2019-04-01","22-187","PHI","@","DAL","L (-20)","0","17:00","0","4",".000","0","2",".000","0","0","","0","1","1","0","0","0","0","2","0","-3.3","-10"
"79","17","2019-04-04","22-190","PHI","","MIL","L (-6)","0","18:18","0","3",".000","0","2",".000","0","0","","0","0","0","0","0","1","1","2","0","-3.2","-1"
"80","18","2019-04-06","22-192","PHI","@","CHI","W (+20)","0","23:45","0","4",".000","0","2",".000","0","0","","0","3","3","2","0","0","1","2","0","-2.3","+10"
"81","19","2019-04-09","22-195","PHI","@","MIA","L (-23)","0","16:30","2","9",".222","2","6",".333","1","2",".500","2","6","8","1","1","0","0","1","7","5.6","+2"
"82","20","2019-04-10","22-196","PHI","","CHI","W (+16)","0","28:09","4","10",".400","1","3",".333","0","0","","0","1","1","2","2","3","0","4","9","7.8","-6"
