"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","22-290","IND","","MEM","W (+28)","0","3:51","1","2",".500","0","1",".000","0","0","","0","0","0","0","0","0","0","0","2","1.0","-1"
"2","2","2018-10-19","22-292","IND","@","MIL","L (-17)","0","4:14","0","0","","0","0","","0","2",".000","0","0","0","1","0","0","0","1","0","-0.5","+7"
"3","3","2018-10-20","22-293","IND","","BRK","W (+20)","0","3:49","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-8"
"5","4","2018-10-24","22-297","IND","@","SAS","W (+20)","0","2:51","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","0","0","-1.0","-9"
"6","5","2018-10-27","22-300","IND","@","CLE","W (+12)","0","5:04","0","1",".000","0","0","","0","0","","1","0","1","0","1","0","0","2","0","0.2","-2"
"20","6","2018-11-26","22-330","IND","@","UTA","W (+33)","0","4:32","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","1","1","3","1.3","+4"
"25","7","2018-12-07","22-341","IND","@","ORL","W (+22)","0","3:23","0","2",".000","0","1",".000","0","0","","1","1","2","0","0","0","1","0","0","-1.4","-5"
"41","8","2019-01-09","23-009","IND","@","BOS","L (-27)","0","4:22","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","1","0","-2.1","+3"
"42","9","2019-01-11","23-011","IND","@","NYK","W (+15)","0","2:06","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-3"
"49","10","2019-01-28","23-028","IND","","GSW","L (-32)","1","28:17","1","10",".100","0","3",".000","0","0","","2","1","3","0","2","2","0","1","2","0.1","-15"
"50","11","2019-01-30","23-030","IND","@","WAS","L (-18)","1","21:45","2","7",".286","0","3",".000","3","4",".750","1","4","5","2","2","0","0","4","7","6.2","-9"
"51","12","2019-01-31","23-031","IND","@","ORL","L (-7)","0","10:28","2","4",".500","0","1",".000","0","0","","0","3","3","2","0","1","1","3","4","2.8","-10"
"52","13","2019-02-02","23-033","IND","@","MIA","W (+7)","0","10:12","1","3",".333","0","2",".000","0","1",".000","0","2","2","0","1","0","1","3","2","-0.7","-15"
"53","14","2019-02-04","23-035","IND","@","NOP","W (+2)","0","14:11","0","2",".000","0","1",".000","1","2",".500","0","1","1","1","0","0","1","1","1","-1.2","-3"
"54","15","2019-02-05","23-036","IND","","LAL","W (+42)","0","17:22","7","9",".778","3","4",".750","0","0","","2","0","2","0","2","1","0","2","17","16.8","+25"
"55","16","2019-02-07","23-038","IND","","LAC","W (+24)","0","16:04","1","5",".200","0","2",".000","0","1",".000","0","0","0","0","0","1","0","2","2","-1.6","+2"
"56","17","2019-02-09","23-040","IND","","CLE","W (+15)","0","14:23","0","1",".000","0","0","","1","2",".500","0","0","0","1","1","0","1","0","1","0.6","+3"
"66","18","2019-03-07","23-066","IND","@","MIL","L (-19)","0","2:23","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","+1"
"67","19","2019-03-10","23-069","IND","@","PHI","L (-17)","0","1:09","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-1"
"74","20","2019-03-24","23-083","IND","","DEN","W (+36)","0","3:50","0","0","","0","0","","0","0","","0","1","1","1","0","0","0","0","0","1.0","-1"
"80","21","2019-04-05","23-095","IND","","BOS","L (-20)","0","3:23","1","1","1.000","0","0","","1","1","1.000","0","0","0","0","1","0","0","0","3","3.7","+2"
"81","22","2019-04-07","23-097","IND","","BRK","L (-12)","0","2:25","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+6"
"82","23","2019-04-10","23-100","IND","@","ATL","W (+1)","0","29:45","5","14",".357","3","7",".429","9","11",".818","2","2","4","1","2","0","2","5","22","14.1","-4"
