"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"5","1","2019-03-10","29-182","NOP","@","ATL","L (-12)","0","6:26","0","1",".000","0","0","","0","0","","0","0","0","1","0","0","0","1","0","-0.4","-4"
"6","2","2019-03-12","29-184","NOP","","MIL","L (-17)","0","7:33","0","2",".000","0","2",".000","0","0","","1","0","1","0","0","0","0","1","0","-1.1","-1"
"8","3","2019-03-16","29-188","NOP","","PHO","L (-2)","0","10:34","1","3",".333","1","2",".500","0","0","","0","0","0","1","0","0","0","0","3","2.0","+3"
"9","4","2019-03-18","29-190","NOP","@","DAL","W (+4)","0","7:01","1","1","1.000","1","1","1.000","0","0","","0","1","1","0","0","0","1","0","3","2.0","-6"
"10","5","2019-03-20","29-192","NOP","@","ORL","L (-23)","0","14:41","2","6",".333","0","3",".000","0","0","","1","1","2","0","0","0","1","0","4","0.6","+7"
"11","6","2019-03-24","29-196","NOP","","HOU","L (-23)","0","12:29","1","4",".250","1","3",".333","0","0","","0","1","1","0","0","0","0","1","3","0.5","-5"
"13","7","2019-03-28","29-200","NOP","","SAC","W (+3)","0","7:55","0","0","","0","0","","0","0","","0","0","0","2","0","0","0","1","0","1.0","-6"
"14","8","2019-03-31","29-203","NOP","","LAL","L (-28)","0","21:57","2","9",".222","2","9",".222","0","0","","0","0","0","0","1","0","0","1","6","1.1","-14"
"15","9","2019-04-03","29-206","NOP","","CHO","L (-6)","0","17:20","2","5",".400","2","4",".500","0","0","","0","1","1","2","0","0","0","0","6","5.0","-10"
"16","10","2019-04-05","29-208","NOP","@","PHO","L (-7)","0","14:03","1","4",".250","1","3",".333","0","0","","0","1","1","2","0","0","0","0","3","2.3","+2"
"17","11","2019-04-07","29-210","NOP","@","SAC","W (+4)","0","21:18","2","8",".250","2","5",".400","0","0","","0","2","2","0","0","0","0","1","6","1.4","-9"
"18","12","2019-04-09","29-212","NOP","","GSW","L (-9)","0","25:44","0","4",".000","0","2",".000","0","0","","0","0","0","2","0","0","0","1","0","-1.8","-7"
