"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","27-094","PHO","","DAL","W (+21)","0","4:08","0","0","","0","0","","0","0","","1","0","1","0","0","0","0","0","0","0.7","-2","","","34.2","0.0","14.2","0.0","0.0","0.0","","0.0","241","116"
"5","2","2018-10-27","27-104","PHO","@","MEM","L (-21)","0","4:31","1","3",".333","1","2",".500","0","0","","0","0","0","1","0","0","1","1","3","0.6","+4",".500",".500","0.0","0.0","0.0","41.9","0.0","0.0","25.0","40.3","78","124"
"6","3","2018-10-28","27-105","PHO","@","OKC","L (-7)","0","16:49","3","5",".600","1","3",".333","1","1","1.000","0","1","1","1","2","0","0","1","8","8.3","+7",".735",".700","0.0","6.6","3.3","9.7","5.4","0.0","0.0","13.0","153","106"
"7","4","2018-10-31","27-108","PHO","","SAS","L (-30)","0","12:00","1","7",".143","1","6",".167","0","0","","0","2","2","2","2","0","2","4","3","-1.1","-2",".214",".214","0.0","23.5","9.8","25.8","7.8","0.0","22.2","31.9","43","105"
"16","5","2018-11-19","27-127","PHO","@","PHI","L (-5)","0","2:41","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-3","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","122"
"22","6","2018-11-30","27-138","PHO","","ORL","L (-14)","0","15:57","3","6",".500","2","5",".400","0","0","","0","1","1","0","1","0","4","3","8","1.1","-2",".667",".667","0.0","7.7","3.6","0.0","3.3","0.0","40.0","29.5","65","105"
"23","7","2018-12-02","27-140","PHO","@","LAL","L (-24)","0","15:13","3","6",".500","3","5",".600","0","0","","0","3","3","0","0","0","0","1","9","6.5","-6",".750",".750","0.0","21.5","9.9","0.0","0.0","0.0","0.0","16.8","130","118"
"24","8","2018-12-04","27-142","PHO","","SAC","L (-17)","0","20:41","4","9",".444","4","9",".444","1","1","1.000","1","1","2","2","1","1","1","1","13","11.0","-7",".689",".667","5.0","6.0","5.5","16.2","2.3","3.9","9.6","20.7","130","120"
"25","9","2018-12-06","27-144","PHO","@","POR","L (-22)","0","22:02","5","9",".556","2","6",".333","3","3","1.000","2","1","3","1","0","0","1","1","15","11.7","+1",".727",".667","8.1","5.1","6.7","9.0","0.0","0.0","8.8","21.8","135","117"
"26","10","2018-12-07","27-145","PHO","","MIA","L (-17)","0","31:52","6","13",".462","6","10",".600","0","0","","0","4","4","0","0","0","0","2","18","11.7","-3",".692",".692","0.0","13.7","7.3","0.0","0.0","0.0","0.0","18.5","117","121"
"27","11","2018-12-10","27-148","PHO","","LAC","L (-4)","0","31:54","4","9",".444","2","6",".333","0","0","","0","1","1","0","2","0","2","2","10","4.8","-11",".556",".556","0.0","4.2","2.0","0.0","3.2","0.0","18.2","15.5","85","120"
