"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","27-080","MIA","@","ORL","L (-3)","1","31:30","2","9",".222","2","5",".400","2","3",".667","0","3","3","3","0","1","1","3","8","3.6","+4"
"2","2","2018-10-18","27-081","MIA","@","WAS","W (+1)","1","34:08","7","12",".583","3","7",".429","3","3","1.000","1","7","8","6","0","1","2","5","20","18.1","-1"
"3","3","2018-10-20","27-083","MIA","","CHO","L (-1)","1","41:31","7","11",".636","4","6",".667","1","2",".500","2","8","10","2","2","1","3","3","19","17.4","-1"
"4","4","2018-10-24","27-087","MIA","","NYK","W (+23)","1","31:17","6","8",".750","3","3","1.000","4","5",".800","0","6","6","5","1","0","0","4","19","20.1","+19"
"5","5","2018-10-27","27-090","MIA","","POR","W (+9)","1","33:09","5","10",".500","1","3",".333","3","3","1.000","4","6","10","2","1","0","1","2","14","14.2","+6"
"6","6","2018-10-29","27-092","MIA","","SAC","L (-10)","1","32:22","3","7",".429","1","3",".333","0","0","","0","2","2","6","0","0","2","3","7","4.9","-12"
"7","7","2018-10-30","27-093","MIA","@","CHO","L (-12)","1","34:59","5","13",".385","3","6",".500","0","0","","0","3","3","2","2","0","1","3","13","8.0","-11"
"8","8","2018-11-03","27-097","MIA","@","ATL","L (-5)","1","34:19","7","15",".467","2","8",".250","2","2","1.000","2","2","4","5","0","0","1","2","18","14.0","-4"
"9","9","2018-11-05","27-099","MIA","@","DET","W (+5)","1","33:21","3","8",".375","2","3",".667","0","2",".000","0","5","5","2","2","0","2","3","8","4.5","-1"
"10","10","2018-11-07","27-101","MIA","","SAS","W (+7)","1","37:16","2","9",".222","0","4",".000","0","0","","0","10","10","4","0","0","0","2","4","3.5","+5"
"11","11","2018-11-09","27-103","MIA","","IND","L (-8)","1","33:53","4","11",".364","3","3","1.000","0","0","","3","1","4","5","1","0","2","3","11","8.6","-20"
"12","12","2018-11-10","27-104","MIA","","WAS","L (-6)","1","26:45","8","14",".571","3","6",".500","3","5",".600","1","1","2","2","1","0","2","4","22","14.4","-7"
"13","13","2018-11-12","27-106","MIA","","PHI","L (-10)","1","26:06","2","4",".500","0","0","","2","2","1.000","1","1","2","2","1","0","1","2","6","5.6","-11"
"14","14","2018-11-14","27-108","MIA","@","BRK","W (+13)","1","33:36","4","9",".444","0","4",".000","2","3",".667","0","4","4","3","1","0","2","3","10","6.0","+6"
"15","15","2018-11-16","27-110","MIA","@","IND","L (-8)","1","31:29","5","11",".455","1","3",".333","0","0","","1","4","5","1","1","0","1","1","11","7.5","+13"
"16","16","2018-11-18","27-112","MIA","","LAL","L (-16)","1","38:05","6","14",".429","2","6",".333","0","0","","2","5","7","4","0","0","3","2","14","8.5","-10"
"17","17","2018-11-20","27-114","MIA","","BRK","L (-12)","1","36:13","7","14",".500","1","4",".250","0","0","","2","3","5","4","0","0","3","0","15","10.1","-12"
"18","18","2018-11-23","27-117","MIA","@","CHI","W (+7)","1","32:08","4","13",".308","1","6",".167","1","2",".500","0","1","1","2","1","0","1","4","10","2.2","+2"
"19","19","2018-11-25","27-119","MIA","@","TOR","L (-10)","1","34:51","3","9",".333","1","5",".200","0","0","","1","2","3","2","2","1","2","4","7","3.7","-10"
"20","20","2018-11-27","27-121","MIA","","ATL","L (-2)","1","35:50","3","9",".333","0","3",".000","2","2","1.000","0","5","5","5","2","0","1","2","8","8.1","0"
"21","21","2018-11-30","27-124","MIA","","NOP","W (+5)","1","27:09","5","11",".455","0","2",".000","1","1","1.000","2","3","5","1","2","0","0","4","11","8.7","+12"
"22","22","2018-12-02","27-126","MIA","","UTA","W (+2)","1","5:07","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-14"
"23","23","2018-12-04","27-128","MIA","","ORL","L (-15)","1","26:54","3","8",".375","1","1","1.000","0","0","","2","5","7","2","1","0","2","2","7","5.1","-5"
"24","24","2018-12-07","27-131","MIA","@","PHO","W (+17)","1","28:30","5","9",".556","4","8",".500","0","0","","2","3","5","0","0","0","0","3","14","10.8","+14"
