"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"5","1","2019-03-18","34-110","GSW","@","SAS","L (-6)","1","19:05","3","4",".750","0","0","","1","1","1.000","0","7","7","1","1","0","1","3","7","7.0","-2"
"6","2","2019-03-19","34-111","GSW","@","MIN","W (+10)","1","12:59","1","4",".250","0","0","","0","0","","2","4","6","3","0","0","1","3","2","2.1","-9"
"7","3","2019-03-21","34-113","GSW","","IND","W (+23)","0","9:00","1","8",".125","0","0","","2","2","1.000","4","3","7","1","0","0","1","2","4","1.4","-12"
"9","4","2019-03-24","34-116","GSW","","DET","W (+7)","1","23:57","4","5",".800","0","0","","0","0","","0","5","5","3","0","3","0","3","8","10.6","0"
"10","5","2019-03-27","34-119","GSW","@","MEM","W (+15)","0","6:34","0","0","","0","0","","0","0","","0","2","2","1","0","0","0","0","0","1.3","-6"
"11","6","2019-03-29","34-121","GSW","@","MIN","L (-1)","0","1:34","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","0"
"12","7","2019-03-31","34-123","GSW","","CHO","W (+47)","0","11:08","3","4",".750","0","0","","0","0","","1","7","8","0","0","1","0","2","6","7.1","+20"
"13","8","2019-04-02","34-125","GSW","","DEN","W (+14)","0","3:54","2","3",".667","0","0","","0","0","","1","2","3","1","0","0","0","1","4","4.3","+7"
"15","9","2019-04-05","34-128","GSW","","CLE","W (+6)","1","20:57","3","6",".500","0","0","","0","0","","2","5","7","0","0","1","0","4","6","5.0","+15"
"16","10","2019-04-07","34-130","GSW","","LAC","W (+27)","0","7:29","1","1","1.000","0","0","","0","0","","1","2","3","0","1","1","0","3","2","3.5","+13"
"18","11","2019-04-10","34-133","GSW","@","MEM","L (-15)","1","17:46","0","1",".000","0","0","","0","0","","1","5","6","1","1","2","5","1","0","-0.8","-15"
