"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-12-03","25-190","CLE","@","BRK","W (+2)","0","3:47","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+6"
"2","2","2018-12-05","25-192","CLE","","GSW","L (-24)","0","3:05","1","2",".500","0","0","","0","0","","0","1","1","0","0","0","0","0","2","1.3","0"
"3","3","2018-12-07","25-194","CLE","","SAC","L (-19)","0","4:38","0","1",".000","0","0","","0","0","","0","1","1","2","0","0","0","0","0","1.0","+2"
"4","4","2018-12-08","25-195","CLE","","WAS","W (+15)","0","14:09","4","4","1.000","4","4","1.000","0","0","","0","3","3","0","1","1","0","2","12","12.6","+18"
"5","5","2018-12-10","25-197","CLE","@","MIL","L (-16)","0","18:37","0","4",".000","0","3",".000","1","2",".500","0","3","3","0","0","0","1","2","1","-3.1","-5"
"6","6","2018-12-12","25-199","CLE","","NYK","W (+7)","0","5:36","1","3",".333","0","0","","2","2","1.000","1","1","2","0","0","0","0","2","4","2.5","+6"
"12","7","2018-12-23","25-210","CLE","","CHI","L (-20)","0","1:35","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-1"
"13","8","2018-12-26","25-213","CLE","@","MEM","L (-8)","0","13:16","2","4",".500","0","2",".000","1","2",".500","1","2","3","0","1","0","0","3","5","3.7","-1"
"14","9","2018-12-28","25-215","CLE","@","MIA","L (-24)","0","22:37","1","6",".167","0","2",".000","2","2","1.000","3","1","4","1","1","0","1","2","4","2.5","-11"
"15","10","2018-12-29","25-216","CLE","@","ATL","L (-3)","0","17:01","2","4",".500","0","0","","3","5",".600","3","4","7","1","0","0","0","3","7","7.0","-1"
"16","11","2019-01-02","25-220","CLE","","MIA","L (-25)","0","14:53","2","5",".400","1","3",".333","4","4","1.000","0","1","1","1","0","0","1","1","9","5.9","-6"
"17","12","2019-01-04","25-222","CLE","","UTA","L (-26)","0","12:51","1","2",".500","1","1","1.000","0","0","","0","1","1","0","0","0","0","4","3","0.7","-1"
"18","13","2019-01-05","25-223","CLE","","NOP","L (-35)","0","27:49","7","13",".538","1","4",".250","0","2",".000","2","3","5","0","3","0","4","1","15","8.8","-14"
"19","14","2019-01-08","25-226","CLE","","IND","L (-8)","0","15:28","1","4",".250","0","2",".000","0","0","","1","0","1","0","0","0","0","2","2","-0.5","-12"
"20","15","2019-01-09","25-227","CLE","@","NOP","L (-16)","0","18:24","1","4",".250","0","2",".000","3","4",".750","0","0","0","1","3","0","1","2","5","4.1","-4"
"21","16","2019-01-11","25-229","CLE","@","HOU","L (-28)","0","20:20","3","6",".500","3","5",".600","3","4",".750","0","2","2","1","0","1","0","3","12","9.4","-1"
