"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","1","2018-10-19","25-250","SAC","@","NOP","L (-20)","0","5:59","1","3",".333","1","2",".500","0","0","","0","0","0","0","0","0","0","0","3","1.3","+3",".500",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0","100","139"
"3","2","2018-10-21","25-252","SAC","@","OKC","W (+11)","0","2:47","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","0","0","0.0","+5",".000",".000","0.0","0.0","0.0","34.5","0.0","0.0","0.0","14.3","62","120"
"4","3","2018-10-23","25-254","SAC","@","DEN","L (-14)","0","4:56","2","3",".667","2","3",".667","0","2",".000","0","0","0","0","0","0","0","0","6","3.9","+7",".773","1.000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","34.1","114","134"
"5","4","2018-10-24","25-255","SAC","","MEM","W (+5)","0","4:19","0","2",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","0","0","-1.4","-8",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.9","0","105"
"9","5","2018-11-01","25-263","SAC","@","ATL","W (+31)","0","6:22","1","2",".500","1","1","1.000","0","0","","0","0","0","0","0","0","1","3","3","-0.2","+2",".750",".750","0.0","0.0","0.0","0.0","0.0","0.0","33.3","17.9","81","109"
"20","6","2018-11-25","25-287","SAC","","UTA","L (-21)","0","5:11","0","2",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","1","0","-1.1","0",".000",".000","0.0","0.0","0.0","23.2","0.0","0.0","0.0","16.0","30","131"
"23","7","2018-12-04","25-296","SAC","@","PHO","W (+17)","0","10:15","1","6",".167","1","4",".250","0","0","","0","1","1","0","0","0","0","0","3","-0.5","-12",".250",".250","0.0","10.2","5.5","0.0","0.0","0.0","0.0","25.3","56","112"
"25","8","2018-12-08","25-300","SAC","@","IND","L (-10)","0","1:09","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","+3","","","0.0","90.7","43.9","0.0","0.0","0.0","","0.0","0","86"
"30","9","2018-12-17","25-309","SAC","@","MIN","L (-27)","0","17:47","1","8",".125","1","5",".200","4","4","1.000","0","3","3","0","1","0","0","3","7","2.5","-5",".359",".188","0.0","18.8","8.4","0.0","2.5","0.0","0.0","22.9","76","120"
"31","10","2018-12-19","25-311","SAC","","OKC","L (-19)","0","11:52","0","2",".000","0","0","","0","0","","1","1","2","1","0","2","0","2","0","0.9","-6",".000",".000","7.0","7.9","7.4","10.4","0.0","11.6","0.0","6.7","58","118"
"34","11","2018-12-26","25-318","SAC","@","LAC","L (-9)","0","8:54","4","6",".667","3","4",".750","0","0","","0","1","1","0","1","0","0","1","11","9.3","+15",".917",".917","0.0","12.0","5.8","0.0","5.1","0.0","0.0","26.2","166","116"
"35","12","2018-12-27","25-319","SAC","","LAL","W (+1)","0","7:52","1","4",".250","0","3",".000","0","0","","0","1","1","0","0","0","0","0","2","-0.1","-8",".250",".250","0.0","14.9","6.5","0.0","0.0","0.0","0.0","19.6","59","117"
"36","13","2018-12-30","25-322","SAC","@","LAL","L (-7)","0","16:15","2","2","1.000","1","1","1.000","0","0","","1","1","2","1","1","0","1","5","5","4.1","+3","1.250","1.250","6.3","6.2","6.2","7.4","2.8","0.0","33.3","7.8","157","115"
"39","14","2019-01-05","25-328","SAC","","GSW","L (-4)","0","11:16","2","3",".667","1","2",".500","0","0","","0","0","0","0","1","0","1","2","5","2.9","-6",".833",".833","0.0","0.0","0.0","0.0","4.4","0.0","25.0","15.3","101","132"
"40","15","2019-01-07","25-330","SAC","","ORL","W (+16)","0","6:10","0","3",".000","0","2",".000","0","0","","0","1","1","0","1","0","0","1","0","-1.2","-8",".000",".000","0.0","14.7","7.6","0.0","7.3","0.0","0.0","20.2","0","79"
"41","16","2019-01-08","25-331","SAC","@","PHO","L (-4)","0","18:16","7","10",".700","4","6",".667","2","3",".667","0","3","3","0","1","0","1","0","20","16.3","+19",".883",".900","0.0","19.7","9.9","0.0","2.5","0.0","8.1","27.5","147","111"
"42","17","2019-01-10","25-333","SAC","","DET","W (+10)","0","3:36","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-9","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","111"
"45","18","2019-01-17","25-340","SAC","@","CHO","L (-19)","0","1:46","0","3",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","0","0","-2.1","-3",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","73.6","0","126"
"48","19","2019-01-22","25-345","SAC","@","TOR","L (-15)","0","12:55","3","4",".750","2","2","1.000","2","3",".667","1","1","2","0","0","1","1","3","10","7.5","-9",".940","1.000","8.4","8.3","8.4","0.0","0.0","7.3","15.8","20.5","139","118"
